event_id,event_year,structure_type,material,location,corrosion_environment,age_at_event_years,corrosion_rate_mm_yr,failure_mode,severity,replacement_value_USD,repair_cost_USD,loss_ratio,detected_by,was_predicted,warning_lead_months,insurance_claim_filed,regulatory_action,severity_num,severity_loss_score,repair_impact_score,failure_cost_ratio,prediction_gap,failure_risk_score
FE-00001,2014,Pipeline,FRP Composite,Industrial Michigan,Moderate,22,0.0865,Fatigue crack,Minor,475093.0,27378.0,0.0576,Sensor alert,0,0,1,0,1,0.0576,1576.9728,0.057626612052798086,1.0,0.0865
FE-00002,2022,Pipeline,Stainless Steel 316L,Rural South,Mild,43,0.007,Buckling,Catastrophic,2766322.0,3998388.0,1.4454,Public report,0,0,1,0,4,5.7816,5779270.0152,1.4453805449980155,4.0,0.028
FE-00003,2018,Building,Steel (A514 HY),Industrial Michigan,Moderate,31,0.0673,Fatigue crack,Major,3105402.0,1144422.0,0.3685,Emergency,0,0,1,1,3,1.1055,421719.507,0.3685262004725958,3.0,0.2019
FE-00004,2023,Bridge,Reinforced Concrete,Coastal Carolina,Severe,39,0.0892,Corrosion,Major,3581022.0,1844080.0,0.515,Routine inspection,0,0,1,0,3,1.545,949701.2000000001,0.5149591373635795,3.0,0.2676
FE-00005,2019,Bridge,Reinforced Concrete,Urban West,Mild,68,0.0553,Brittle fracture,Major,1202428.0,801472.0,0.6665,Routine inspection,0,0,1,1,3,1.9994999999999998,534181.088,0.6665446912413883,3.0,0.1659
FE-00006,2008,Bridge,Reinforced Concrete,Coastal Florida,Severe,32,0.144,Overload,Moderate,2305782.0,517342.0,0.2244,Load test,0,0,1,0,2,0.4488,116091.54479999999,0.22436726455493192,2.0,0.288
FE-00007,2008,Building,Steel (A36),Coastal Carolina,Severe,46,0.1022,Fatigue crack,Moderate,307661.0,32429.0,0.1054,Public report,0,0,0,0,2,0.2108,3418.0166,0.1054049749562018,2.0,0.2044
FE-00008,2013,Bridge,Steel (A36),Rural Mountain,Mild,34,0.0235,Buckling,Major,902185.0,645029.0,0.715,Sensor alert,0,0,0,1,3,2.145,461195.735,0.7149631173207269,3.0,0.07050000000000001
FE-00009,2020,Power Plant,Steel (A514 HY),Industrial Ohio,Moderate,65,0.0636,Corrosion,Moderate,262542.0,50094.0,0.1908,Sensor alert,1,17,1,0,2,0.3816,9557.9352,0.19080375711314762,0.1111111111111111,0.1272
FE-00010,2005,Bridge,Reinforced Concrete,Coastal Florida,Severe,61,0.0931,Settlement,Moderate,750375.0,127788.0,0.1703,Sensor alert,0,0,0,0,2,0.3406,21762.2964,0.17029885057471264,2.0,0.1862
FE-00011,2023,Pipeline,Steel (A36),Pacific Northwest,Mild,30,0.0462,Brittle fracture,Minor,909386.0,44208.0,0.0486,Routine inspection,0,0,0,0,1,0.0486,2148.5088,0.048613020213638655,1.0,0.0462
FE-00012,2021,Bridge,Steel (A36),Rural South,Mild,52,0.0332,Fatigue crack,Catastrophic,2373004.0,3018091.0,1.2718,Sensor alert,0,0,1,0,4,5.0872,3838408.1338,1.2718440424036368,4.0,0.1328
FE-00013,2013,Building,Reinforced Concrete,Rural Midwest,Mild,55,0.0347,Corrosion,Catastrophic,2108117.0,2740437.0,1.2999,Load test,0,0,1,1,4,5.1996,3562294.0563000003,1.2999454015123448,4.0,0.1388
FE-00014,2018,Bridge,Steel (A588 Weathering),Desert Southwest,Mild,37,0.0093,Overload,Major,1772703.0,466059.0,0.2629,Routine inspection,1,19,0,0,3,0.7887000000000001,122526.91110000001,0.26290867674957397,0.15,0.027899999999999998
FE-00015,2012,Power Plant,Aluminium Alloy,Urban Northeast,Moderate,19,0.0423,Corrosion,Moderate,215987.0,32655.0,0.1512,Emergency,0,0,0,0,2,0.3024,4937.436,0.1511896549329358,2.0,0.0846
FE-00016,2021,Building,Reinforced Concrete,Urban Northeast,Moderate,54,0.0371,Brittle fracture,Minor,1179328.0,38666.0,0.0328,Routine inspection,0,0,1,0,1,0.0328,1268.2448000000002,0.03278646822597276,1.0,0.0371
FE-00017,2014,Bridge,Prestressed Concrete,Pacific Northwest,Mild,54,0.0341,Fatigue crack,Catastrophic,2565902.0,1461227.0,0.5695,Routine inspection,0,0,0,1,4,2.278,832168.7765,0.569478881110814,4.0,0.1364
FE-00018,2022,Power Plant,Steel (A36),Urban Midwest,Moderate,32,0.063,Settlement,Moderate,658025.0,142987.0,0.2173,Sensor alert,0,0,1,0,2,0.4346,31071.0751,0.21729721515140002,2.0,0.126
